0.181: [GC 67200K->71920K(243520K), 0.2302410 secs]
0.439: [GC 103127K(243520K), 0.0270640 secs]
0.505: [GC 139120K->147689K(243520K), 0.0856350 secs]
0.657: [GC 214889K->224882K(292672K), 0.0872880 secs]
0.812: [GC 292082K->302710K(370432K), 0.0881440 secs]
0.965: [GC 369910K->380196K(447808K), 0.0967180 secs]
1.132: [GC 447396K->457432K(524992K), 0.0885740 secs]
1.295: [GC 524632K->534909K(602560K), 0.0974080 secs]
1.470: [GC 602109K->612639K(680320K), 0.0990020 secs]
1.643: [GC 679839K->690446K(758080K), 0.0943940 secs]
1.811: [GC 757646K->768211K(835840K), 0.0973850 secs]
1.976: [GC 835411K->845827K(913408K), 0.0947920 secs]
2.135: [GC 913027K->922526K(990208K), 0.1057760 secs]
2.305: [GC 989726K->997913K(1065664K), 0.0915640 secs]
2.461: [GC 1065113K->1075892K(1143616K), 0.0947110 secs]
