0.273: [GC 8704K->7122K(30720K), 0.0292990 secs]
0.341: [GC 15826K->14123K(39424K), 0.0318260 secs]
0.441: [GC 31531K->28502K(46080K), 0.0564530 secs]
0.498: [Full GC 28502K->28429K(75264K), 0.4665060 secs]
1.031: [GC 45837K->42818K(81920K), 0.0879580 secs]
1.119: [Full GC 42818K->42778K(109568K), 0.3203600 secs]
1.531: [GC 66842K->62548K(117248K), 0.0656880 secs]
1.724: [GC 94292K->88862K(132608K), 0.0991780 secs]
1.823: [Full GC 88862K->88783K(188928K), 0.7897480 secs]
2.696: [GC 113871K->109597K(195584K), 0.1299840 secs]
2.923: [GC 134685K->130382K(195584K), 0.1187040 secs]
3.118: [GC 152398K->148608K(206336K), 0.1288930 secs]
3.315: [GC 170624K->166873K(210432K), 0.1612690 secs]
3.538: [GC 183257K->180503K(221696K), 0.1719000 secs]
3.710: [Full GC 180503K->180334K(290304K), 1.4554090 secs]
5.201: [GC 196718K->193905K(295936K), 0.2074880 secs]
5.438: [GC 211313K->208334K(300544K), 0.1539850 secs]
5.633: [GC 225742K->222795K(303616K), 0.1766950 secs]
5.835: [GC 234059K->232116K(315904K), 0.2034270 secs]
6.065: [GC 243380K->241525K(327680K), 0.1678780 secs]
6.258: [GC 257397K->254710K(328192K), 0.1732040 secs]
6.431: [Full GC 254710K->58260K(264704K), 0.7087700 secs]
7.169: [GC 74132K->71437K(262656K), 0.0378730 secs]
7.250: [GC 91405K->88014K(263680K), 0.0780440 secs]
7.359: [GC 107982K->104576K(259072K), 0.1055540 secs]
7.506: [GC 130176K->125789K(262144K), 0.1270520 secs]
7.691: [GC 151389K->147019K(263168K), 0.1144220 secs]
7.806: [Full GC 147019K->146857K(369152K), 1.3217560 secs]
9.227: [GC 179625K->174035K(371200K), 0.1646970 secs]
9.473: [GC 206803K->201253K(369152K), 0.1432400 secs]
9.703: [GC 241701K->234824K(372224K), 0.1535400 secs]
9.970: [GC 275272K->268402K(367104K), 0.1658040 secs]
10.136: [Full GC 268402K->72126K(315392K), 0.8903360 secs]
11.140: [GC 119742K->111689K(319488K), 0.1098220 secs]
11.354: [GC 159305K->151158K(311808K), 0.1672510 secs]
11.587: [GC 192630K->185702K(324608K), 0.2279760 secs]
11.815: [Full GC 185702K->185322K(466944K), 1.7005530 secs]
13.597: [GC 226794K->219757K(460800K), 0.1013470 secs]
13.817: [GC 266861K->258856K(465920K), 0.1746530 secs]
14.099: [GC 305960K->298003K(460800K), 0.2400020 secs]
14.439: [GC 330771K->325254K(482304K), 0.2970560 secs]
14.802: [GC 358022K->352488K(480768K), 0.2377330 secs]
15.040: [Full GC 352488K->155937K(472064K), 1.8919370 secs]
17.028: [GC 194337K->187796K(475648K), 0.0994110 secs]
17.261: [GC 226196K->219654K(478720K), 0.1512790 secs]
17.511: [GC 263174K->255753K(478720K), 0.2020740 secs]
17.799: [GC 299273K->291852K(474112K), 0.3195650 secs]
18.152: [GC 317452K->313134K(498176K), 0.2668890 secs]
18.476: [GC 338734K->334431K(500736K), 0.2462130 secs]
18.722: [Full GC 334431K->137859K(510464K), 1.6556750 secs]
20.441: [GC 168579K->163373K(513024K), 0.0815070 secs]
20.598: [GC 194093K->188855K(513024K), 0.1231250 secs]
20.784: [GC 223671K->217793K(514560K), 0.1386640 secs]
20.997: [GC 252609K->246715K(509440K), 0.1378680 secs]
21.220: [GC 286651K->279902K(512512K), 0.1433900 secs]
21.479: [GC 319838K->313009K(504320K), 0.1648030 secs]
21.725: [GC 358577K->350844K(508928K), 0.1780160 secs]
21.904: [Full GC 350844K->154215K(525312K), 1.8746030 secs]
23.900: [GC 199783K->191914K(513536K), 0.1048290 secs]
24.134: [GC 242602K->233949K(520192K), 0.1560670 secs]
24.400: [GC 284637K->275832K(512000K), 0.2721350 secs]
24.751: [GC 312184K->306047K(531968K), 0.2903520 secs]
25.118: [GC 342399K->336213K(528896K), 0.2142580 secs]
25.332: [Full GC 336213K->139651K(555008K), 1.6872800 secs]
27.099: [GC 181123K->174109K(558080K), 0.1013370 secs]
27.310: [GC 215581K->208532K(551936K), 0.1614110 secs]
27.610: [GC 255124K->246927K(555520K), 0.1638140 secs]
27.897: [GC 293519K->285622K(546816K), 0.1789330 secs]
28.258: [GC 337846K->328914K(551424K), 0.1984150 secs]
28.695: [GC 381138K->372150K(540672K), 0.2045160 secs]
28.899: [Full GC 372150K->175519K(584704K), 2.1198950 secs]
31.259: [GC 233375K->223194K(590336K), 0.1237920 secs]
31.508: [GC 281050K->271198K(577536K), 0.1937200 secs]
31.822: [GC 321374K->312721K(590336K), 0.2755640 secs]
32.196: [GC 362897K->354349K(621056K), 0.3223120 secs]
32.608: [GC 409645K->400256K(621568K), 0.2776530 secs]
33.019: [GC 455552K->446240K(624128K), 0.3289030 secs]
33.348: [Full GC 446240K->53413K(538112K), 0.6536050 secs]
34.116: [GC 116389K->105677K(541184K), 0.1303140 secs]
34.404: [GC 168653K->157901K(532992K), 0.2158940 secs]
34.761: [GC 228045K->216158K(538112K), 0.2281640 secs]
35.153: [GC 286302K->274155K(530432K), 0.2491420 secs]
35.611: [GC 352491K->338776K(535552K), 0.2608260 secs]
35.872: [Full GC 338776K->141852K(645120K), 1.7283410 secs]
37.799: [GC 220188K->206809K(641536K), 0.1556490 secs]
38.201: [GC 293337K->278607K(646144K), 0.2828380 secs]
38.813: [GC 365135K->350300K(653312K), 0.2935650 secs]
