0.143: [GC 67200K->71959K(243520K), 0.2785610 secs]
0.450: [GC 103165K(243520K), 0.0253630 secs]
0.513: [GC 139159K->147548K(243520K), 0.0908010 secs]
0.672: [GC 214748K->224774K(292480K), 0.0957630 secs]
0.836: [GC 291974K->302479K(370048K), 0.1036070 secs]
1.008: [GC 369679K->380157K(447808K), 0.1273320 secs]
1.210: [GC 447357K->457610K(525376K), 0.1202740 secs]
1.405: [GC 524810K->535021K(602752K), 0.1086590 secs]
1.589: [GC 602221K->612559K(680320K), 0.1032830 secs]
1.770: [GC 679759K->690012K(757696K), 0.1094440 secs]
1.953: [GC 757212K->767577K(835264K), 0.1024290 secs]
2.130: [GC 834777K->845037K(912832K), 0.1202070 secs]
2.331: [GC 912237K->921846K(989440K), 0.1163310 secs]
2.512: [GC 989046K->998157K(1065856K), 0.1040720 secs]
2.681: [GC 1065357K->1074175K(1141888K), 0.0981850 secs]
